name,learning_rate,batch_size,epochs,train_time_s,test_loss,test_acc
mlp_baseline,0.001,100,2,1.2613439559936523,0.47399425506591797,0.8333333134651184
mlp_lr_0_1,0.1,100,2,1.0431170463562012,1.1104583740234375,0.5306666493415833
mlp_batch_1000,0.001,1000,2,0.796534538269043,0.762370765209198,0.7173333168029785
mlp_deeper,0.001,100,2,1.368340253829956,0.48282915353775024,0.8389999866485596
cnn_baseline,0.001,100,2,1.6083576679229736,0.46674272418022156,0.8370000123977661
